Episode 1:
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 5:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 6:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 7:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 8:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 9:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

Episode 10:
Step 1: 1.0
Step 2: 2.0
Step 3: 3.0
Step 4: 4.0
Step 5: 4.5
Step 6: 4.5
Step 7: 4.5
Step 8: 4.5
Step 9: 4.5
Step 10: 4.5
Step 11: 4.5
Step 12: 4.5
Step 13: 4.5
Step 14: 4.5
Step 15: 4.5
Step 16: 4.5
Step 17: 4.5
Step 18: 4.5
Step 19: 4.5
Step 20: 4.5
Step 21: 4.5
Step 22: 4.5
Step 23: 4.5
Step 24: 4.5
Step 25: 4.5
Step 26: 4.5
Step 27: 4.5
Step 28: 4.5
Step 29: 4.5
Step 30: 4.5
Step 31: 4.5
Step 32: 4.5
Step 33: 4.5
Step 34: 4.5
Step 35: 4.5
Step 36: 4.5
Step 37: 4.5
Step 38: 4.5
Step 39: 4.5
Step 40: 4.5
Step 41: 4.5
Step 42: 4.5
Step 43: 4.5
Step 44: 4.5
Step 45: 4.5
Step 46: 4.5
Step 47: 4.5
Step 48: 4.5
Step 49: 4.5
Step 50: 4.5
Step 51: 4.5
Step 52: 4.5
Step 53: 4.5
Step 54: 4.5
Step 55: 4.5
Step 56: 4.5
Step 57: 4.5
Step 58: 4.5
Step 59: 4.5
Step 60: 4.5
Step 61: 4.5
Step 62: 4.5
Step 63: 4.5
Step 64: 4.5
Step 65: 4.5
Step 66: 4.5
Step 67: 4.5
Step 68: 4.5
Step 69: 4.5
Step 70: 4.5
Step 71: 4.5
Step 72: 4.5
Step 73: 4.5
Step 74: 4.5
Step 75: 4.5
Step 76: 4.5
Step 77: 4.5
Step 78: 4.5
Step 79: 4.5
Step 80: 4.5
Step 81: 4.5
Step 82: 4.5
Step 83: 4.5
Step 84: 4.5
Step 85: 4.5
Step 86: 4.5
Step 87: 4.5
Step 88: 4.5
Step 89: 4.5
Step 90: 4.5
Step 91: 4.5
Step 92: 4.5
Step 93: 4.5
Step 94: 4.5
Step 95: 4.5
Step 96: 4.5
Step 97: 4.5
Step 98: 4.5
Step 99: 4.5
Step 100: 4.5
Step 101: 4.5

